Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent_Africa,Continent_America,Continent_Europe,Score_log
5.161,1.07838,0.63533,0.15111,0.17191,0.12721,0,0,1,1.8182391020324336
5.155,1.02787,0.57669,0.52259,0.21286,0.12372,0,1,0,1.8172647596364169
5.151,0.84058,0.59471,0.25646,0.04053,0.08404,1,0,0,1.8166146702262311
5.145,1.24142,0.67608,0.1977,0.099,0.04472,0,0,1,1.815638743017998
5.132,0.68816,0.40306,0.14622,0.31185,0.1388,0,0,0,1.8135209610095675
5.129,1.12268,0.76171,0.26228,0.23693,0.03061,0,0,0,1.8130316045035946
5.123,1.27607,0.79363,0.44727,0.11691,0.01521,0,0,1,1.8120521724958174
5.121,1.0193,0.64738,0.27668,0.23507,0.07047,0,0,1,1.8117254818689328
5.061,0.74037,0.66157,0.55954,0.25075,0.11556,0,0,0,1.801874802969148
5.057,0.25558,0.33108,0.3913,0.51479,0.36794,1,0,0,1.8012146279988102
5.045,0.97724,0.59577,0.23553,0.03936,0.0817,1,0,0,1.799231484066756
5.033,1.24886,0.80029,0.05822,0.0,0.04127,0,0,1,1.7972443994586247
4.996,0.48835,0.53119,0.43408,0.25998,0.13509,0,0,0,1.7910925802403512
4.907,0.98853,0.55469,0.35972,0.34539,0.03285,0,0,0,1.7761380883250981
4.876,0.68042,0.38291,0.52168,0.43079,0.22423,0,0,0,1.7708762583116309
4.875,0.75216,0.05108,0.27854,0.23219,0.0305,1,0,0,1.7707060600302227
4.871,0.69429,0.58383,0.26755,0.2044,0.06906,0,1,0,1.7700249770820489
4.813,1.11758,0.64232,0.22544,0.38538,0.0557,0,0,0,1.7600967887192134
4.795,0.61202,0.23573,0.42662,0.17866,0.11479,1,0,0,1.756995476791715
4.793,0.44626,0.50073,0.37012,0.3816,0.07008,0,0,0,1.756650292114487
4.754,0.67024,0.56844,0.17744,0.11154,0.10613,0,0,0,1.7498952651293562
4.655,0.9553,0.73007,0.31866,0.1684,0.05301,0,0,1,1.7325401095680837
4.643,0.54177,0.52989,0.39778,0.19132,0.12583,0,0,0,1.730415838987003
4.635,0.36485,0.0,0.30685,0.23897,0.08196,1,0,0,1.7289971474917396
4.575,1.07474,0.51076,0.24856,0.19589,0.13636,0,0,0,1.7182923173461826
4.574,0.93287,0.34745,0.48614,0.07795,0.10398,1,0,0,1.7181129290597563
4.513,0.52497,0.12698,0.42736,0.2268,0.06126,1,0,0,1.7071089396075465
4.508,0.29283,0.34578,0.36703,0.29522,0.1717,1,0,0,1.7062015808664084
4.459,1.02416,0.18611,0.42483,0.13656,0.08415,1,0,0,1.6972656227996206
4.415,0.97318,0.62007,0.50817,0.46978,0.07964,0,0,0,1.689172880452954
4.404,0.74036,0.45091,0.40285,0.25028,0.08722,0,0,0,1.6871394200979524
4.395,0.34112,0.3988,0.42692,0.81971,0.20243,0,0,0,1.6854725987100978
4.362,0.95395,0.52116,0.18847,0.12706,0.10393,1,0,0,1.6793370398137677
4.36,0.86086,0.64083,0.14037,0.07793,0.03616,0,0,0,1.6789639750827106
4.356,0.52267,0.30147,0.40576,0.41328,0.06686,1,0,0,1.6782174278289261
4.324,0.87287,0.58628,0.12859,0.20363,0.01829,0,0,1,1.672224900532865
4.276,0.63107,0.29681,0.40973,0.21203,0.0326,1,0,0,1.663168234855068
4.272,0.05661,0.188,0.15602,0.25458,0.06075,1,0,0,1.662409797200206
4.252,0.83792,0.64035,0.32461,0.06786,0.3188,0,0,0,1.6586089564405497
4.236,0.77109,0.28212,0.37938,0.12077,0.09753,1,0,0,1.6555578480476534
4.219,0.44314,0.40457,0.31056,0.19103,0.11681,1,0,0,1.6523058126612762
4.217,1.11306,0.67806,0.21219,0.12793,0.00615,0,0,1,1.6519225240402555
4.201,0.61391,0.28639,0.1268,0.22686,0.17955,1,0,0,1.6488509147909354
4.193,0.35041,0.1595,0.25429,0.18503,0.08582,1,0,0,1.6473115648621819
4.156,0.08709,0.29364,0.4143,0.30968,0.07564,1,0,0,1.640161085076941
4.139,0.63069,0.29759,0.0,0.18077,0.10039,1,0,0,1.6368585080100926
4.121,1.15851,0.3494,0.28098,0.06244,0.09314,1,0,0,1.6333497324804134
4.073,0.31292,0.16347,0.27544,0.21064,0.13647,1,0,0,1.623932358584553
4.028,0.34097,0.27494,0.12072,0.47958,0.14476,0,1,0,1.615022290728001
3.974,1.09426,0.34752,0.44089,0.12425,0.10769,1,0,0,1.604224345381213
3.956,0.27509,0.29981,0.15412,0.1827,0.18437,1,0,0,1.600598963766896
3.916,0.55507,0.04476,0.40663,0.20338,0.1553,1,0,0,1.5924951917037884
3.907,0.55604,0.42494,0.58852,0.40339,0.08092,0,0,0,1.5906627571077663
3.866,0.84731,0.04991,0.00589,0.12071,0.08434,1,0,0,1.5822722443613308
3.856,0.1327,0.26162,0.38041,0.2097,0.17176,1,0,0,1.580215053757197
3.832,0.39394,0.15781,0.19662,0.25899,0.13015,1,0,0,1.5752604606325138
3.763,0.42214,0.03824,0.12807,0.18667,0.04952,1,0,0,1.5608777218187233
3.739,0.31995,0.21297,0.3337,0.24353,0.12533,1,0,0,1.5558261429854512
3.739,0.34719,0.19625,0.43653,0.27102,0.06442,1,0,0,1.5558261429854512
3.724,0.57939,0.31048,0.2287,0.09821,0.05892,0,0,0,1.552655898335116
3.695,0.27954,0.37109,0.13684,0.2204,0.07506,1,0,0,1.5464981126602262
3.666,0.47155,0.357,0.3176,0.31472,0.05099,1,0,0,1.5403021735992382
