Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
Bulgaria,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015134,1.6521141867145368
Egypt,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015135,1.6475041132405566
Yemen,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,2015136,1.6247205359652572
Angola,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015137,1.616016227794223
Mali,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015138,1.608437412100517
Congo (Brazzaville),2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015139,1.6072354888789002
Comoros,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015140,1.600598963766896
Uganda,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015141,1.5955418072419891
Senegal,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,2015142,1.5900511986339103
Gabon,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015143,1.588418545210025
Niger,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,2015144,1.5779472453427297
Cambodia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015145,1.5725664376581956
Tanzania,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,2015146,1.5646497296439663
Madagascar,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015147,1.5435117623179335
Central African Republic,2015,148,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,2015148,1.5428706681619873
Chad,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015149,1.5405164669676785
Guinea,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015150,1.5381567104291367
Ivory Coast,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,2015151,1.5379419107290304
Burkina Faso,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015152,1.523226215615035
Afghanistan,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015153,1.5206066987274847
Rwanda,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,2015154,1.4962692143284624
Benin,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015155,1.4678743481123135
Syria,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,2015156,1.3877932372436264
Burundi,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015157,1.3622577832916491
Togo,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,2015158,1.3452119160186606
Denmark,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,201601,2.1431203183430187
Switzerland,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,201602,2.14112442686742
Iceland,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,201603,2.140183803635222
Norway,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,201604,2.13983084169262
Finland,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,201605,2.1297781285686765
Canada,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,201606,2.128707782982754
Netherlands,2016,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,201607,2.1209433051048485
New Zealand,2016,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,201608,2.120343533000262
Australia,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,201609,2.117820554548951
Sweden,2016,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,201610,2.1151705891340815
Israel,2016,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,201611,2.1122716862705384
Austria,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,201612,2.0942069938803094
United States,2016,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,201613,2.092357766946382
Costa Rica,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,201614,2.090257834113685
Puerto Rico,2016,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,201615,2.0843046973458237
Germany,2016,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,201616,2.0786912602891316
Brazil,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,201617,2.073423469354273
Belgium,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,201618,2.0705269242902617
Ireland,2016,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,201619,2.06774844308879
Luxembourg,2016,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,201620,2.063185119160313
Mexico,2016,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,201621,2.0512992357335555
Singapore,2016,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,201622,2.046272480288322
United Kingdom,2016,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,201623,2.044461822783809
Chile,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,201624,2.041869468772079
Panama,2016,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,201625,2.041350190557113
Argentina,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,201626,2.0347056478384444
Czech Republic,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,201627,2.0276217929500393
United Arab Emirates,2016,28,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,201628,2.0245892901316855
Uruguay,2016,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,201629,2.020885092219812
Malta,2016,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,201630,2.013301739175291
Colombia,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,201631,2.012366472890268
